id,cuisine
18009,southern_us
28583,southern_us
41580,italian
29752,mexican
35687,italian
38527,southern_us
19666,mexican
41217,chinese
28753,mexican
22659,italian
21749,italian
44967,italian
42969,indian
44883,italian
20827,southern_us
23196,italian
35387,mexican
33780,southern_us
19001,italian
16526,southern_us
42455,indian
47453,italian
42478,italian
11885,chinese
16585,italian
29639,southern_us
26245,thai
38516,indian
47520,italian
26212,italian
23696,mexican
14926,thai
13292,mexican
27346,indian
1384,chinese
15959,mexican
42297,italian
46235,indian
21181,indian
9809,mexican
22982,southern_us
23120,chinese
26743,southern_us
12741,mexican
7050,mexican
22437,italian
14760,italian
10649,chinese
48065,thai
39931,chinese
32935,italian
40142,thai
19103,indian
38267,mexican
30512,italian
3324,chinese
26197,italian
384,chinese
47230,southern_us
39748,mexican
41038,southern_us
24878,italian
42624,italian
45706,chinese
8874,mexican
23878,italian
47234,thai
24075,thai
46323,italian
22562,italian
11358,italian
9201,indian
38620,indian
47638,mexican
21238,indian
11053,chinese
46602,indian
13937,mexican
21876,southern_us
20798,italian
24381,chinese
48178,chinese
45832,italian
27560,indian
23247,southern_us
28975,mexican
43230,italian
9126,italian
13021,southern_us
28194,thai
25617,indian
36125,italian
16454,mexican
1607,southern_us
38526,southern_us
18755,southern_us
12035,southern_us
16047,italian
15419,italian
16971,indian
31459,southern_us
27888,southern_us
13900,mexican
12376,indian
1658,indian
29431,mexican
22290,italian
28464,italian
37953,chinese
20814,southern_us
35987,mexican
2329,italian
43237,chinese
30647,southern_us
16675,mexican
37722,mexican
32438,chinese
20287,thai
43296,chinese
6237,mexican
48560,chinese
20810,mexican
34951,italian
31850,chinese
47745,mexican
37815,italian
9872,italian
5592,italian
27411,thai
39320,italian
40247,southern_us
19792,mexican
40754,italian
14365,italian
14468,italian
47563,italian
19611,italian
7163,mexican
43069,southern_us
27505,chinese
36500,italian
25932,mexican
817,italian
8471,southern_us
48250,mexican
9413,mexican
12097,chinese
8416,mexican
5892,italian
676,italian
47015,chinese
21891,italian
14630,italian
36195,thai
25981,mexican
39964,chinese
28298,mexican
31954,southern_us
26620,mexican
14932,southern_us
47426,italian
1038,mexican
8077,southern_us
37141,southern_us
45447,mexican
9624,italian
45589,french
7265,italian
31844,southern_us
13046,italian
9867,southern_us
29184,italian
34783,italian
2823,mexican
18932,mexican
11112,mexican
12859,thai
9365,italian
44516,southern_us
18193,southern_us
46545,italian
9900,mexican
14815,thai
39690,italian
22193,southern_us
11739,mexican
27311,chinese
36920,indian
7861,chinese
29248,mexican
43142,mexican
7574,mexican
8610,mexican
989,italian
46926,mexican
40816,mexican
39726,chinese
42229,southern_us
10474,italian
22140,mexican
31985,indian
46165,indian
20860,italian
42494,italian
15968,southern_us
20484,thai
26661,thai
47182,mexican
22528,southern_us
3861,chinese
1203,italian
45040,southern_us
33287,indian
10097,southern_us
42005,southern_us
12423,indian
39613,mexican
30276,mexican
18686,mexican
3031,southern_us
40093,italian
182,italian
46591,mexican
4092,chinese
13722,southern_us
44575,southern_us
14989,italian
13270,southern_us
25529,italian
12140,indian
23127,mexican
13523,italian
41270,italian
8362,thai
11735,italian
27935,italian
28198,mexican
37765,thai
33856,southern_us
30198,italian
42521,southern_us
21567,southern_us
36995,italian
24967,thai
45002,indian
48925,southern_us
36914,mexican
2280,southern_us
14729,southern_us
4594,southern_us
2237,mexican
45631,chinese
2317,chinese
23079,southern_us
29333,chinese
48066,italian
15737,italian
30580,italian
1119,chinese
46336,indian
5026,mexican
10749,chinese
31020,mexican
30805,southern_us
27653,italian
35060,mexican
39174,mexican
49509,italian
31784,southern_us
31408,italian
36029,italian
11045,indian
6561,southern_us
26992,indian
31179,mexican
35099,mexican
11018,chinese
17930,mexican
21302,italian
46352,indian
25132,mexican
7010,mexican
25850,southern_us
19601,mexican
7935,italian
34994,chinese
25113,italian
45523,italian
34977,italian
7124,chinese
